benchmark,backbone,backbone_short,seed,config,qz_sweep,qz_run_id,lr,init_lr,gamma,hidden_dim,batch_size,init_batch_size,buffer_batch,avg_acc,avg_inc_acc,bwt,task0_final,collapsed
cifar_100,dinov3_vitb16,v3-B/16,7,paperhp,dinov3_min_focused,af00f92dfdf2,5e-05,0.001,100,96,512,512,2000,86.4,91.56,-0.0519,90.6,False
cifar_100,dinov3_vitb16,v3-B/16,42,paperhp,dinov3_min_focused,af00f92dfdf2,5e-05,0.001,100,96,512,512,2000,88.99,93.29,-0.0523,95.2,False
cifar_100,dinov3_vitb16,v3-B/16,1993,paperhp,dinov3_min_focused,af00f92dfdf2,5e-05,0.001,100,96,512,512,2000,85.14,91.03,-0.0628,92.6,False
cifar_100,dinov3_vitb16,v3-B/16,2024,paperhp,dinov3_min_focused,af00f92dfdf2,5e-05,0.001,100,96,512,512,2000,89.1,93.95,-0.042,89.6,False
cifar_100,dinov3_vitb16,v3-B/16,31337,paperhp,dinov3_min_focused,af00f92dfdf2,5e-05,0.001,100,96,512,512,2000,89.48,93.71,-0.0414,93.6,False
cifar_100,dinov3_vith16,v3-H/16,7,paperhp,min_dinov3vith16_cifar100_boil,289baabd9b50,1e-06,0.0001,10,192,96,96,1000,88.8,93.06,-0.0426,94.2,False
cifar_100,dinov3_vith16,v3-H/16,42,paperhp,min_dinov3vith16_cifar100_boil,289baabd9b50,1e-06,0.0001,10,192,96,96,1000,92.26,95.14,-0.0353,98.6,False
cifar_100,dinov3_vith16,v3-H/16,1993,paperhp,min_dinov3vith16_cifar100_boil,289baabd9b50,1e-06,0.0001,10,192,96,96,1000,76.68,85.25,-0.0872,92.0,False
cifar_100,dinov3_vith16,v3-H/16,2024,paperhp,min_dinov3vith16_cifar100_boil,289baabd9b50,1e-06,0.0001,10,192,96,96,1000,92.52,96.11,-0.0301,94.2,False
cifar_100,dinov3_vith16,v3-H/16,31337,paperhp,min_dinov3vith16_cifar100_boil,289baabd9b50,1e-06,0.0001,10,192,96,96,1000,90.77,95.05,-0.0376,98.0,False
cifar_100,dinov3_vitl16,v3-L/16,7,paperhp,all_classes_min_dinov3l,fddf45396a44,5e-05,0.001,75,192,128,128,500,83.8,89.34,-0.0564,91.2,False
cifar_100,dinov3_vitl16,v3-L/16,42,paperhp,all_classes_min_dinov3l,fddf45396a44,5e-05,0.001,75,192,128,128,500,83.6,89.18,-0.0709,96.6,False
cifar_100,dinov3_vitl16,v3-L/16,1993,paperhp,all_classes_min_dinov3l,fddf45396a44,5e-05,0.001,75,192,128,128,500,81.46,88.42,-0.0747,93.6,False
cifar_100,dinov3_vitl16,v3-L/16,2024,paperhp,all_classes_min_dinov3l,fddf45396a44,5e-05,0.001,75,192,128,128,500,86.18,92.15,-0.0488,90.6,False
cifar_100,dinov3_vitl16,v3-L/16,31337,paperhp,all_classes_min_dinov3l,fddf45396a44,5e-05,0.001,75,192,128,128,500,86.25,91.85,-0.0468,96.4,False
cub_200,dinov3_vitb16,v3-B/16,7,paperhp,dinov3_min_focused,6eb614af33dd,0.0002,0.001,75,192,256,256,1000,90.58,94.75,-0.0409,89.47,False
cub_200,dinov3_vitb16,v3-B/16,42,paperhp,dinov3_min_focused,6eb614af33dd,0.0002,0.001,75,192,256,256,1000,90.87,93.64,-0.0399,93.29,False
cub_200,dinov3_vitb16,v3-B/16,1993,paperhp,dinov3_min_focused,6eb614af33dd,0.0002,0.001,75,192,256,256,1000,90.95,94.84,-0.0382,87.13,False
cub_200,dinov3_vitb16,v3-B/16,2024,paperhp,dinov3_min_focused,6eb614af33dd,0.0002,0.001,75,192,256,256,1000,90.52,94.73,-0.0474,94.07,False
cub_200,dinov3_vitb16,v3-B/16,31337,paperhp,dinov3_min_focused,6eb614af33dd,0.0002,0.001,75,192,256,256,1000,91.02,93.59,-0.0367,88.14,False
cub_200,dinov3_vith16,v3-H/16,7,paperhp,all_classes_min_dinov3h_sweep,ca3b6a24447b,1e-05,0.001,25,192,64,64,256,89.46,94.47,-0.0487,87.72,False
cub_200,dinov3_vith16,v3-H/16,42,paperhp,all_classes_min_dinov3h_sweep,ca3b6a24447b,1e-05,0.001,25,192,64,64,256,7.0,21.69,-0.2043,0.67,True
cub_200,dinov3_vith16,v3-H/16,1993,paperhp,all_classes_min_dinov3h_sweep,ca3b6a24447b,1e-05,0.001,25,192,64,64,256,89.92,93.71,-0.0409,84.16,False
cub_200,dinov3_vith16,v3-H/16,2024,paperhp,all_classes_min_dinov3h_sweep,ca3b6a24447b,1e-05,0.001,25,192,64,64,256,89.04,93.82,-0.0496,92.59,False
cub_200,dinov3_vith16,v3-H/16,31337,paperhp,all_classes_min_dinov3h_sweep,ca3b6a24447b,1e-05,0.001,25,192,64,64,256,89.76,92.73,-0.0391,88.98,False
cub_200,dinov3_vitl16,v3-L/16,7,paperhp,all_classes_min_dinov3l,5b8357f64734,5e-05,0.001,75,192,128,128,500,91.6,95.48,-0.0353,88.6,False
cub_200,dinov3_vitl16,v3-L/16,42,paperhp,all_classes_min_dinov3l,5b8357f64734,5e-05,0.001,75,192,128,128,500,91.73,94.07,-0.0353,93.29,False
cub_200,dinov3_vitl16,v3-L/16,1993,paperhp,all_classes_min_dinov3l,5b8357f64734,5e-05,0.001,75,192,128,128,500,91.65,95.09,-0.0359,87.13,False
cub_200,dinov3_vitl16,v3-L/16,2024,paperhp,all_classes_min_dinov3l,5b8357f64734,5e-05,0.001,75,192,128,128,500,92.01,95.88,-0.0361,95.56,False
cub_200,dinov3_vitl16,v3-L/16,31337,paperhp,all_classes_min_dinov3l,5b8357f64734,5e-05,0.001,75,192,128,128,500,92.03,94.53,-0.0303,93.22,False
imagenet_a,dinov3_vitb16,v3-B/16,7,paperhp,dinov3_min_remaining,81636b1fe740,0.0002,0.001,75,192,256,256,1000,72.95,81.96,-0.1105,68.35,False
imagenet_a,dinov3_vitb16,v3-B/16,42,paperhp,dinov3_min_remaining,81636b1fe740,0.0002,0.001,75,192,256,256,1000,73.02,82.52,-0.1049,80.79,False
imagenet_a,dinov3_vitb16,v3-B/16,1993,paperhp,dinov3_min_remaining,81636b1fe740,0.0002,0.001,75,192,256,256,1000,72.06,81.4,-0.1056,73.28,False
imagenet_a,dinov3_vitb16,v3-B/16,2024,paperhp,dinov3_min_remaining,81636b1fe740,0.0002,0.001,75,192,256,256,1000,72.16,81.83,-0.0937,72.14,False
imagenet_a,dinov3_vitb16,v3-B/16,31337,paperhp,dinov3_min_remaining,81636b1fe740,0.0002,0.001,75,192,256,256,1000,73.08,81.91,-0.1094,73.33,False
imagenet_a,dinov3_vith16,v3-H/16,7,paperhp,all_classes_min_dinov3h_sweep,126c1991af0e,1e-05,0.001,50,192,64,64,256,38.45,54.71,-0.1707,51.8,True
imagenet_a,dinov3_vith16,v3-H/16,42,paperhp,all_classes_min_dinov3h_sweep,126c1991af0e,1e-05,0.001,50,192,64,64,256,17.59,37.8,-0.2525,15.23,True
imagenet_a,dinov3_vith16,v3-H/16,1993,paperhp,all_classes_min_dinov3h_sweep,126c1991af0e,1e-05,0.001,50,192,64,64,256,16.23,34.9,-0.2427,6.9,True
imagenet_a,dinov3_vith16,v3-H/16,2024,paperhp,all_classes_min_dinov3h_sweep,126c1991af0e,1e-05,0.001,50,192,64,64,256,51.0,66.21,-0.1156,70.0,False
imagenet_a,dinov3_vith16,v3-H/16,31337,paperhp,all_classes_min_dinov3h_sweep,126c1991af0e,1e-05,0.001,50,192,64,64,256,37.16,54.43,-0.163,54.07,True
imagenet_a,dinov3_vitl16,v3-L/16,7,paperhp,all_classes_min_dinov3l,a985397d7e51,5e-05,0.001,75,192,128,128,500,83.81,89.6,-0.0655,84.17,False
imagenet_a,dinov3_vitl16,v3-L/16,42,paperhp,all_classes_min_dinov3l,a985397d7e51,5e-05,0.001,75,192,128,128,500,82.94,89.36,-0.0607,91.39,False
imagenet_a,dinov3_vitl16,v3-L/16,1993,paperhp,all_classes_min_dinov3l,a985397d7e51,5e-05,0.001,75,192,128,128,500,84.03,89.79,-0.0666,81.03,False
imagenet_a,dinov3_vitl16,v3-L/16,2024,paperhp,all_classes_min_dinov3l,a985397d7e51,5e-05,0.001,75,192,128,128,500,79.86,87.89,-0.0689,81.43,False
imagenet_a,dinov3_vitl16,v3-L/16,31337,paperhp,all_classes_min_dinov3l,a985397d7e51,5e-05,0.001,75,192,128,128,500,82.99,88.51,-0.072,85.19,False
